id,relid,year,active_year,code_status,type_of_violence,conflict_dset_id,conflict_new_id,conflict_name,dyad_dset_id,dyad_new_id,dyad_name,side_a_dset_id,side_a_new_id,side_a,side_b_dset_id,side_b_new_id,side_b,number_of_sources,source_article,source_office,source_date,source_headline,source_original,where_prec,where_coordinates,where_description,adm_1,adm_2,latitude,longitude,geom_wkt,priogrid_gid,country,country_id,region,event_clarity,date_prec,date_start,date_end,deaths_a,deaths_b,deaths_civilians,deaths_unknown,best_est,high_est,low_est
71348,BNG-2013-2-29-2,2013,False,Clear,2,5201,4591,Supporters of Awami League - Supporters of BNP,5201,5201,Supporters of Awami League - Supporters of BNP,372,372,Supporters of Awami League,374,374,Supporters of BNP,1,"""BBC Monitoring South Asia,2013-10-14,Three killed in clash between ruling, apposition party supporters""",BBC Monitoring South Asia,2013-10-14,"Three killed in clash between ruling, apposition party supporters",not specified,2,Nikli sub-district,Nikli sub-dsitrict,Dhaka Division,Kishorganj District,24.316667,90.933333,POINT (90.933333 24.316667),164702,Bangladesh,771,Asia,1,1,10/11/2013 00:00:00,10/11/2013 00:00:00,1,2,0,0,3,3,3,
71461,BNG-2013-2-29-3,2013,False,Clear,2,5201,4591,Supporters of Awami League - Supporters of BNP,5201,5201,Supporters of Awami League - Supporters of BNP,372,372,Supporters of Awami League,374,374,Supporters of BNP,2,"""Agence France Presse,2013-10-27,Three killed as political strike grips Bangladesh"";""Associated Press Newswires,2013-10-27,5 dead, scores injured as police clash with Bangladesh opposition during strike over election""",Agence France Presse;Associated Press Newswires,2013-10-27;2013-10-27,"Three killed as political strike grips Bangladesh;5 dead, scores injured as police clash with Bangladesh opposition during strike over election",police,1,Abhaynagar village,Avoynagar village,Khulna Division,Jessore District,23.014724,89.439362,POINT (89.439362 23.014724),163259,Bangladesh,771,Asia,1,1,10/27/2013 00:00:00,10/27/2013 00:00:00,0,1,0,0,1,1,0,
71466,BNG-2013-2-X3374-13,2013,True,Clear,2,11123,10513,Supporters of Awami League - Supporters of Jamaat-e-Islami,11123,11123,Supporters of Awami League - Supporters of Jamaat-e-Islami,372,372,Supporters of Awami League,2765,2765,Supporters of Jamaat-e-Islami,1,"""Associated Press Newswires,2013-10-27,5 dead, scores injured as police clash with Bangladesh opposition during strike over election""",Associated Press Newswires,2013-10-27,"5 dead, scores injured as police clash with Bangladesh opposition during strike over election",police,3,Pirojpur District,Pirojpur district,Barisāl Division,Pirojpur District,22.500000,90.500000,POINT (90.500000 22.500000),162542,Bangladesh,771,Asia,1,1,10/27/2013 00:00:00,10/27/2013 00:00:00,1,0,0,0,1,1,1,
71527,BNG-2013-2-29-4,2013,False,Clear,2,5201,4591,Supporters of Awami League - Supporters of BNP,5201,5201,Supporters of Awami League - Supporters of BNP,372,372,Supporters of Awami League,374,374,Supporters of BNP,1,"""Agence France Presse,2013-10-28,Fresh violence erupts across crisis-hit Bangladesh""",Agence France Presse,2013-10-28,Fresh violence erupts across crisis-hit Bangladesh,police,1,Harinākunda town,Harina Kundu town,Khulna Division,Jhenaidah District,23.651800,89.049195,POINT (89.049195 23.651800),163979,Bangladesh,771,Asia,1,1,10/28/2013 00:00:00,10/28/2013 00:00:00,1,0,0,0,1,1,1,
71529,BNG-2013-2-29-5,2013,False,Clear,2,5201,4591,Supporters of Awami League - Supporters of BNP,5201,5201,Supporters of Awami League - Supporters of BNP,372,372,Supporters of Awami League,374,374,Supporters of BNP,1,"""Agence France Presse,2013-10-28,Fresh violence erupts across crisis-hit Bangladesh""",Agence France Presse,2013-10-28,Fresh violence erupts across crisis-hit Bangladesh,police,2,Islampur sub-district,"Islampur upazila (Rambhadra Bazar in)
",Dhaka Division,Jamālpur District,25.083333,89.791667,POINT (89.791667 25.083333),166140,Bangladesh,771,Asia,1,1,10/28/2013 00:00:00,10/28/2013 00:00:00,1,0,0,0,1,1,1,
71535,BNG-2013-2-29-8,2013,False,Clear,2,5201,4591,Supporters of Awami League - Supporters of BNP,5201,5201,Supporters of Awami League - Supporters of BNP,372,372,Supporters of Awami League,374,374,Supporters of BNP,1,"""Agence France Presse,2013-10-29,Four dead as police open fire during Bangladesh strike""",Agence France Presse,2013-10-29,Four dead as police open fire during Bangladesh strike,police,3,Chittagong District,Chittagong district,Chittagong Division,Chittagong District,22.487500,91.963333,POINT (91.963333 22.487500),161824,Bangladesh,771,Asia,1,1,10/28/2013 00:00:00,10/28/2013 00:00:00,0,0,0,0,0,1,0,
71617,BNG-2013-2-X3374-14,2013,True,Clear,2,11123,10513,Supporters of Awami League - Supporters of Jamaat-e-Islami,11123,11123,Supporters of Awami League - Supporters of Jamaat-e-Islami,372,372,Supporters of Awami League,2765,2765,Supporters of Jamaat-e-Islami,2,"""Agence France Presse,2013-11-28,UN to send envoy to Bangladesh amid rising violence"";""BBC Monitoring South Asia,2013-11-28,Death toll in Bangladesh opposition strike reaches 17""",Agence France Presse;BBC Monitoring South Asia,2013-11-28;2013-11-28,UN to send envoy to Bangladesh amid rising violence;Death toll in Bangladesh opposition strike reaches 17,not specified,3,Jessore District,Jessore district,Khulna Division,Jessore District,23.083333,89.166667,POINT (89.166667 23.083333),163259,Bangladesh,771,Asia,1,1,11/27/2013 00:00:00,11/27/2013 00:00:00,0,1,0,0,1,1,0,
71619,BNG-2013-2-29-9,2013,False,Clear,2,5201,4591,Supporters of Awami League - Supporters of BNP,5201,5201,Supporters of Awami League - Supporters of BNP,372,372,Supporters of Awami League,374,374,Supporters of BNP,1,"""BBC Monitoring South Asia,2013-11-28,Death toll in Bangladesh opposition strike reaches 17""",BBC Monitoring South Asia,2013-11-28,Death toll in Bangladesh opposition strike reaches 17,not specified,1,Chupair village,Chupair village,Dhaka Division,Gazipur District,23.990987,90.585352,POINT (90.585352 23.990987),163982,Bangladesh,771,Asia,1,2,11/26/2013 00:00:00,11/27/2013 00:00:00,1,0,0,0,1,1,1,
71621,BNG-2013-2-29-10,2013,False,Clear,2,5201,4591,Supporters of Awami League - Supporters of BNP,5201,5201,Supporters of Awami League - Supporters of BNP,372,372,Supporters of Awami League,374,374,Supporters of BNP,1,"""BBC Monitoring South Asia,2013-11-29,Death toll rises to 20 as three more killed in Bangladesh violence""",BBC Monitoring South Asia,2013-11-29,Death toll rises to 20 as three more killed in Bangladesh violence,police,2,Palash sub-district,Palash upazila,Dhaka Division,Narsingdi District,23.950000,90.625000,POINT (90.625000 23.950000),163982,Bangladesh,771,Asia,1,1,11/28/2013 00:00:00,11/28/2013 00:00:00,2,0,0,0,2,2,2,
71649,BNG-2013-2-X3374-15,2013,True,Clear,2,11123,10513,Supporters of Awami League - Supporters of Jamaat-e-Islami,11123,11123,Supporters of Awami League - Supporters of Jamaat-e-Islami,372,372,Supporters of Awami League,2765,2765,Supporters of Jamaat-e-Islami,2,"""Reuters News,2013-12-13,Four killed in Bangladesh clashes after Islamist leader executed"";""BBC Monitoring Newsfile,2013-12-14,Seven killed in clashes following Bangladesh Islamist party leader's execution""",Reuters News;BBC Monitoring Newsfile,2013-12-13;2013-12-14,Four killed in Bangladesh clashes after Islamist leader executed;Seven killed in clashes following Bangladesh Islamist party leader's execution,police,3,Sātkhira District,Satkhira District,Khulna Division,Sātkhira District,22.350000,89.150000,POINT (89.150000 22.350000),161819,Bangladesh,771,Asia,1,1,12/13/2013 00:00:00,12/13/2013 00:00:00,2,0,0,0,2,2,2,
