id,relid,year,active_year,code_status,type_of_violence,conflict_dset_id,conflict_new_id,conflict_name,dyad_dset_id,dyad_new_id,dyad_name,side_a_dset_id,side_a_new_id,side_a,side_b_dset_id,side_b_new_id,side_b,number_of_sources,source_article,source_office,source_date,source_headline,source_original,where_prec,where_coordinates,where_description,adm_1,adm_2,latitude,longitude,geom_wkt,priogrid_gid,country,country_id,region,event_clarity,date_prec,date_start,date_end,deaths_a,deaths_b,deaths_civilians,deaths_unknown,best_est,high_est,low_est
6869,EGY-2005-3-651-1,2005,True,Clear,3,117,482,Government of Egypt - Civilians,117,949,Government of Egypt - Civilians,117,117,Government of Egypt,9999,1,Civilians,-1,"Reuters 2005-12-01 ""UPDATE 1-Man killed in Egypt election violence-rights group",,,,Egyptian Organisation for Human Rights,1,Baltim town,Baltim town,Kafr ash Shaykh governorate,,31.554444,31.090278,POINT (31.090278 31.554444),175383,Egypt,651,Middle East,1,1,12/01/2005 00:00:00,12/01/2005 00:00:00,0,0,0,1,1,1,1,
6870,EGY-1997-1-241-6,1997,True,Clear,1,391,391,Egypt: Government,838,838,Government of Egypt - al-Gama'a al-Islamiyya,117,117,Government of Egypt,341,341,al-Gama'a al-Islamiyya,-1,"Reuters, 1997-04-18, ""Gunmen kill two policemen in south Egypt.",,,,security sources,2,Dayrut town,Dayrut town (near),Assiut governorate,,27.558611,30.807778,POINT (30.807778 27.558611),169622,Egypt,651,Middle East,1,1,04/18/1997 00:00:00,04/18/1997 00:00:00,0,0,0,0,0,2,0,
7006,EGY-1993-1-241-16,1993,True,Clear,1,391,391,Egypt: Government,838,838,Government of Egypt - al-Gama'a al-Islamiyya,117,117,Government of Egypt,341,341,al-Gama'a al-Islamiyya,-1,"New Digest, p.39488",,,,"police, army",4,Assiut governorate,Assiut governorate,Assiut governorate,,27.333333,30.833333,POINT (30.833333 27.333333),168902,Egypt,651,Middle East,1,1,05/10/1993 00:00:00,05/10/1993 00:00:00,2,0,0,0,2,2,2,
7007,EGY-1994-1-241-36,1994,True,Clear,1,391,391,Egypt: Government,838,838,Government of Egypt - al-Gama'a al-Islamiyya,117,117,Government of Egypt,341,341,al-Gama'a al-Islamiyya,-1,"IHT, 1993-09-03/04, ""Police Kill 3 Militants in South Egypt",,,,police,1,Sohag town,Sohag town,Sohag governorate,,26.550000,31.700000,POINT (31.700000 26.550000),168184,Egypt,651,Middle East,1,1,09/02/1994 00:00:00,09/02/1994 00:00:00,0,3,0,0,3,3,3,
7008,EGY-1995-1-241-8,1995,True,Clear,1,391,391,Egypt: Government,838,838,Government of Egypt - al-Gama'a al-Islamiyya,117,117,Government of Egypt,341,341,al-Gama'a al-Islamiyya,-1,"IHT, 1995-01-23, ""6 are killed in shoot-outs in Egypt",,,,security sources,2,Abu Qurqas town,Abu Qurqas town (near),Al Minya governorate,,27.930833,30.836389,POINT (30.836389 27.930833),169622,Egypt,651,Middle East,1,1,01/22/1995 00:00:00,01/22/1995 00:00:00,2,0,0,0,2,2,2,
7009,EGY-1993-1-241-9,1993,True,Clear,1,391,391,Egypt: Government,838,838,Government of Egypt - al-Gama'a al-Islamiyya,117,117,Government of Egypt,341,341,al-Gama'a al-Islamiyya,-1,"AP, 1993-03-17, ""150 arrested in raid, officer killed",,,,police,1,Al Badari,Al Badari island,Assiut governorate,,26.983333,31.400000,POINT (31.400000 26.983333),168183,Egypt,651,Middle East,1,1,03/16/1993 00:00:00,03/16/1993 00:00:00,1,0,0,0,1,1,1,
7014,EGY-1993-1-241-19,1993,True,Clear,1,391,391,Egypt: Government,838,838,Government of Egypt - al-Gama'a al-Islamiyya,117,117,Government of Egypt,341,341,al-Gama'a al-Islamiyya,-1,"News Digest for June 1993, p.39537",,,,p,1,Assiut town,Assiut town,Assiut governorate,,27.180956,31.183683,POINT (31.183683 27.180956),168903,Egypt,651,Middle East,1,1,06/23/1993 00:00:00,06/23/1993 00:00:00,0,2,0,0,2,2,2,
7016,EGY-1994-1-241-40,1994,True,Clear,1,391,391,Egypt: Government,838,838,Government of Egypt - al-Gama'a al-Islamiyya,117,117,Government of Egypt,341,341,al-Gama'a al-Islamiyya,-1,"NY Times, 1994-09-18, ""5 on U.N. Aid Mission in Egypt Are Killed; Militants Suspected",,,,police,2,Mallawi town,Mallawi town (near),Assiut governorate,,27.731944,30.841111,POINT (30.841111 27.731944),169622,Egypt,651,Middle East,1,1,09/15/1994 00:00:00,09/15/1994 00:00:00,0,2,0,0,2,2,2,
7017,EGY-1995-1-241-75,1995,True,Clear,1,391,391,Egypt: Government,838,838,Government of Egypt - al-Gama'a al-Islamiyya,117,117,Government of Egypt,341,341,al-Gama'a al-Islamiyya,-1,"Reuters, 1995-12-04, ""Four killed in attacks in south Egypt.",,,,police,4,Al Minya governorate,El Minya governorate,Al Minya governorate,,28.433333,30.700000,POINT (30.700000 28.433333),170342,Egypt,651,Middle East,1,1,12/04/1995 00:00:00,12/04/1995 00:00:00,1,0,0,0,1,1,1,
7018,EGY-1994-1-241-12,1994,True,Clear,1,391,391,Egypt: Government,838,838,Government of Egypt - al-Gama'a al-Islamiyya,117,117,Government of Egypt,341,341,al-Gama'a al-Islamiyya,-1,"Keesings Record of World Events, p.39888",,,,police,1,Assiut town,Assiut town,Assiut governorate,,27.180956,31.183683,POINT (31.183683 27.180956),168903,Egypt,651,Middle East,1,1,02/21/1994 00:00:00,02/21/1994 00:00:00,2,0,0,0,2,2,2,
