id,relid,year,active_year,code_status,type_of_violence,conflict_dset_id,conflict_new_id,conflict_name,dyad_dset_id,dyad_new_id,dyad_name,side_a_dset_id,side_a_new_id,side_a,side_b_dset_id,side_b_new_id,side_b,number_of_sources,source_article,source_office,source_date,source_headline,source_original,where_prec,where_coordinates,where_description,adm_1,adm_2,latitude,longitude,geom_wkt,priogrid_gid,country,country_id,region,event_clarity,date_prec,date_start,date_end,deaths_a,deaths_b,deaths_civilians,deaths_unknown,best_est,high_est,low_est
115608,IRN-1996-1-260-2,1996,True,Clear,1,205,205,Iran: Kurdistan,406,406,Government of Iran - KDPI,114,114,Government of Iran,164,164,KDPI,-1,R 28/7,,,,,5,northern Iran/Iraq border,on the border with Iraq,,,35.736710,46.274843,POINT (46.274843 35.736710),181173,Iran,630,Middle East,1,2,07/27/1996 00:00:00,07/28/1996 00:00:00,0,0,0,8,8,8,8,
115611,IRN-1996-1-260-4,1996,True,Clear,1,205,205,Iran: Kurdistan,406,406,Government of Iran - KDPI,114,114,Government of Iran,164,164,KDPI,1,"""Reuters News,1996-07-29,Iran forces end north Iraq operation - IRNA.""",Reuters News,1996-07-29,Iran forces end north Iraq operation - IRNA.,"government statement, KDPI",5,northern Iran/Iraq border,northern Iraq,,,35.736710,46.274843,POINT (46.274843 35.736710),181173,Iran,630,Middle East,2,2,07/27/1996 00:00:00,07/28/1996 00:00:00,2,3,0,7,12,14,12,
115615,IRN-2009-1-459-4,2009,True,Clear,1,338,338,Iran: Government,754,754,Government of Iran - PJAK,114,114,Government of Iran,309,309,PJAK,-1,"AFP, 2009-07-19, Kurdish rebels kill four Iran policemen: report",,,,newspaper,1,Tergever village,"Targovar (near Orumieh town), West Azerbaijan province",West Azarbaijan province,Urmia county,37.511601,44.793697,POINT (44.793697 37.511601),184050,Iran,630,Middle East,1,1,07/18/2009 00:00:00,07/18/2009 00:00:00,4,0,0,0,4,4,4,
115616,IRN-2009-1-459-5,2009,True,Clear,1,338,338,Iran: Government,754,754,Government of Iran - PJAK,114,114,Government of Iran,309,309,PJAK,-1,"Xinhua, 2009-07-21, Two gunmen killed in clashes in northwest Iran",,,,police official,1,Urmia town,"Urumiyeh (Orumieh) town, Vali-e Asr township, West Azerbaijan province",West Azarbaijan province,Urmia county,37.555278,45.072500,POINT (45.072500 37.555278),184051,Iran,630,Middle East,1,1,07/20/2009 00:00:00,07/20/2009 00:00:00,0,2,0,0,2,2,2,
115617,IRN-1997-1-246-2,1997,True,Clear,1,338,338,Iran: Government,753,753,Government of Iran - MEK,114,114,Government of Iran,308,308,MEK,-1,"IRNA news agency, Tehran, in Persian 0936 gmt 4 Jan 97",,,,government,5,Iran/Iraq border,border with Iraq,,,34.102554,45.508912,POINT (45.508912 34.102554),179012,Iran,630,Middle East,1,1,01/02/1997 00:00:00,01/02/1997 00:00:00,0,2,0,0,2,2,2,
115618,IRN-1997-1-246-5,1997,True,Clear,1,338,338,Iran: Government,753,753,Government of Iran - MEK,114,114,Government of Iran,308,308,MEK,-1,"R 11/1, IRNA news agency, Tehran, in Persian 1825 gmt 11 Jan 97",,,,Iran spokesman,2,Dehloran town,"Dehloran, Ilam province, Iran border area close to dehloran.",Ilam province,Dehloran county,32.694167,47.267778,POINT (47.267778 32.694167),176855,Iran,630,Middle East,1,1,01/11/1997 00:00:00,01/11/1997 00:00:00,0,4,0,0,4,4,4,
115621,IRN-2008-1-459-1,2008,True,Clear,1,338,338,Iran: Government,754,754,Government of Iran - PJAK,114,114,Government of Iran,309,309,PJAK,-1,"Dow Jones International News 2008-01-06 ""News Agency: Iran Forces Kill Rebels In Kurdish Area - AFP",,,,,3,Rawansar county,"western Kermanshah province, in an area between Ravansar and Kamyaran, about 100 kilometers from the Iraqi border",Kermanshah province,Rawansar county,34.750000,46.683333,POINT (46.683333 34.750000),179734,Iran,630,Middle East,1,1,01/05/2008 00:00:00,01/05/2008 00:00:00,0,2,0,0,2,2,2,
115622,IRN-2008-1-459-10,2008,True,Clear,1,338,338,Iran: Government,754,754,Government of Iran - PJAK,114,114,Government of Iran,309,309,PJAK,-1,"BBC Monitoring Middle East 2008-08-14 ""Three militants killed in clashes with Iranian forces",,,,,5,northern Iran/Iraq border,in the northwest of the country,,,35.736710,46.274843,POINT (46.274843 35.736710),181173,Iran,630,Middle East,1,1,08/13/2008 00:00:00,08/13/2008 00:00:00,1,3,0,0,4,4,4,
115623,IRN-2008-1-459-2,2008,True,Clear,1,338,338,Iran: Government,754,754,Government of Iran - PJAK,114,114,Government of Iran,309,309,PJAK,-1,"BBC Monitoring Middle East 2008-05-23 ""Nine Kordish rebels reportedly killed in northwestern Iran",,,,,2,Urmia town,"near Orumiyeh, noth-western Iran",West Azarbaijan province,Urmia county,37.555278,45.072500,POINT (45.072500 37.555278),184051,Iran,630,Middle East,1,1,05/21/2008 00:00:00,05/21/2008 00:00:00,0,9,0,0,9,9,9,
115624,IRN-2008-1-459-4,2008,True,Clear,1,338,338,Iran: Government,754,754,Government of Iran - PJAK,114,114,Government of Iran,309,309,PJAK,-1,"AFP 2008-05-29 ""Kurdish rebels kill 8 Iranian soldiers: report",,,,,3,Sardasht county,"region of Sardasht"" a town 10 kilometres (six miles) from the Iraqi border in the West Azarbaijan",West Azarbaijan province,Sardasht county,36.200000,45.483333,POINT (45.483333 36.200000),181891,Iran,630,Middle East,1,1,05/29/2008 00:00:00,05/29/2008 00:00:00,8,0,0,0,8,8,8,
