id,relid,year,active_year,code_status,type_of_violence,conflict_dset_id,conflict_new_id,conflict_name,dyad_dset_id,dyad_new_id,dyad_name,side_a_dset_id,side_a_new_id,side_a,side_b_dset_id,side_b_new_id,side_b,number_of_sources,source_article,source_office,source_date,source_headline,source_original,where_prec,where_coordinates,where_description,adm_1,adm_2,latitude,longitude,geom_wkt,priogrid_gid,country,country_id,region,event_clarity,date_prec,date_start,date_end,deaths_a,deaths_b,deaths_civilians,deaths_unknown,best_est,high_est,low_est
24941,SOM-2004-2-43-2,2004,True,Clear,2,5215,4605,Da'ud subclan of Abgal clan (Hawiye) - Warsangeli subclan of Abgal clan (Hawiye),5215,5215,Da'ud subclan of Abgal clan (Hawiye) - Warsangeli subclan of Abgal clan (Hawiye),595,595,Da'ud subclan of Abgal clan (Hawiye),699,699,Warsangeli subclan of Abgal clan (Hawiye),1,"""Agence France Presse,2004-03-30,Five killed in clan fighting in Somali capital.""",Agence France Presse,2004-03-30,Five killed in clan fighting in Somali capital.,,1,Mogadishu city,Mogadishu city,Banaadir region,Mogadishu district,2.066667,45.366667,POINT (45.366667 2.066667),132931,Somalia,520,Africa,1,1,03/30/2004 00:00:00,03/30/2004 00:00:00,0,0,0,5,5,5,5,
24948,SOM-2009-2-10-30,2009,True,Clear,2,5183,4573,Ahlu Sunna Waljamaca - Al-Shabaab,5183,5183,Ahlu Sunna Waljamaca - Al-Shabaab,894,894,Ahlu Sunna Waljamaca,717,717,Al-Shabaab,-1,R 2009-06-06; Garoweonline.com in English 7 Jun 09 in BBC Mon 2009-06-08; Garowe/All Africa 2009-06-09,,,,Elman human rights group; Alha Sunna spokesman Sheikh Abdullahi Sheikh Abu Yusuf,1,Wabxo town,Wabxo town,Galgudud region,El Bur district,4.516667,46.283333,POINT (46.283333 4.516667),136533,Somalia,520,Africa,1,1,06/06/2009 00:00:00,06/06/2009 00:00:00,0,0,0,73,73,73,71,
24970,SOM-1993-2-300-12,1993,True,Clear,2,5440,4830,SPM - SPM/SNA ,5440,5440,SPM - SPM/SNA ,501,501,SPM,974,974,SPM/SNA ,-1,R 1993-11-22,,,,U.N. civilian official,1,Jilib town,Jilib town,Middle Juba region,Jilib district,0.495833,42.772778,POINT (42.772778 0.495833),130046,Somalia,520,Africa,2,2,11/01/1993 00:00:00,11/06/1993 00:00:00,0,0,0,0,0,60,0,
24972,SOM-2002-2-5310-1,2002,True,Clear,2,5310,4700,Sa'ad subclan of Habar Gidir clan (Hawiye) - Saleban Abdalla subclan of Surre clan (Dir),5310,5310,Sa'ad subclan of Habar Gidir clan (Hawiye) - Saleban Abdalla subclan of Surre clan (Dir),680,680,Sa'ad subclan of Habar Gidir clan (Hawiye),1121,1121,Saleban Abdalla subclan of Surre clan (Dir),-1,"BBC Monitoring Africa 23 January 2002 ""Fourteen people killed, 22 others wounded in central Somalia fighting",,,,Somali pro-Puntland web site AllPuntland.com on 22 January,3,Hobyo district,Mudug (South east),Mudug region,Hobyo district,5.351389,48.525556,POINT (48.525556 5.351389),137258,Somalia,520,Africa,2,2,01/15/2002 00:00:00,01/16/2002 00:00:00,0,0,0,12,12,12,12,
25108,SOM-1999-2-287-5,1999,True,Clear,2,5431,4821,Forces of Hussein Ali Ahmed - USC/SSA,5431,5431,Forces of Hussein Ali Ahmed - USC/SSA,971,971,Forces of Hussein Ali Ahmed,502,502,USC/SSA,-1,X 1999-09-04,,,,eyewitnesses,1,Jowhar town,Jawhar town,Middle Shabelle region,Jowhar district,2.766667,45.516667,POINT (45.516667 2.766667),133652,Somalia,520,Africa,1,1,09/03/1999 00:00:00,09/03/1999 00:00:00,0,0,0,4,4,4,4,
25109,SOM-2002-2-289-1,2002,True,Clear,2,5433,4823,Garre subclan of Digil clan (Digil-Mirifle) - Jiddo subclan of Digil clan (Digil-Mirifle),5433,5433,Garre subclan of Digil clan (Digil-Mirifle) - Jiddo subclan of Digil clan (Digil-Mirifle),612,612,Garre subclan of Digil clan (Digil-Mirifle),632,632,Jiddo subclan of Digil clan (Digil-Mirifle),-1,"R 27 January 2002 ""Inter-clan fighting killes about 65 in Somalia"", AFP",,,,,4,Lower Shabelle region,Shabeellaha Hoose region,Lower Shabelle region,,1.833330,44.416670,POINT (44.416670 1.833330),132209,Somalia,520,Africa,1,1,01/23/2002 00:00:00,01/23/2002 00:00:00,0,0,0,11,11,15,11,
25110,SOM-1995-2-288-14,1995,True,Clear,2,5432,4822,Forces of Abdurahman Ahmed Ali 'Tur' - Republic of Somaliland,5432,5432,Forces of Abdurahman Ahmed Ali 'Tur' - Republic of Somaliland,972,972,Forces of Abdurahman Ahmed Ali 'Tur',675,675,Republic of Somaliland,-1,R 1995-08-15,,,,Voice of Hargeisa newsletter,2,Hargeysa town,Hargeysa town (airport),Woqooyi Galbeed region,Hargeysa district,9.560000,44.065000,POINT (44.065000 9.560000),143729,Somalia,520,Africa,2,2,08/12/1995 00:00:00,08/13/1995 00:00:00,0,10,0,0,10,10,10,
25111,SOM-1994-2-288-8,1994,True,Clear,2,5432,4822,Forces of Abdurahman Ahmed Ali 'Tur' - Republic of Somaliland,5432,5432,Forces of Abdurahman Ahmed Ali 'Tur' - Republic of Somaliland,972,972,Forces of Abdurahman Ahmed Ali 'Tur',675,675,Republic of Somaliland,-1,R 1994-12-21; R 1994-12-10,,,,Somali Red Crescent,1,Hargeysa town,Hargeysa town,Woqooyi Galbeed region,Hargeysa district,9.560000,44.065000,POINT (44.065000 9.560000),143729,Somalia,520,Africa,2,5,11/01/1994 00:00:00,12/31/1994 00:00:00,0,0,72,150,222,222,222,
25112,SOM-2004-2-43-8,2004,True,Clear,2,5215,4605,Da'ud subclan of Abgal clan (Hawiye) - Warsangeli subclan of Abgal clan (Hawiye),5215,5215,Da'ud subclan of Abgal clan (Hawiye) - Warsangeli subclan of Abgal clan (Hawiye),595,595,Da'ud subclan of Abgal clan (Hawiye),699,699,Warsangeli subclan of Abgal clan (Hawiye),-1,Radio Shabeelle on 26 May,,,,,1,Mogadishu city,Mogadishu city,Banaadir region,Mogadishu district,2.066667,45.366667,POINT (45.366667 2.066667),132931,Somalia,520,Africa,1,1,05/26/2004 00:00:00,05/26/2004 00:00:00,0,0,2,0,2,2,2,
25113,SOM-1995-2-288-12,1995,True,Clear,2,5432,4822,Forces of Abdurahman Ahmed Ali 'Tur' - Republic of Somaliland,5432,5432,Forces of Abdurahman Ahmed Ali 'Tur' - Republic of Somaliland,972,972,Forces of Abdurahman Ahmed Ali 'Tur',675,675,Republic of Somaliland,-1,BBC 1995-08-24 (Radio Hargeisa in Somali 1200 gmt 8 Aug 95),,,,Ministry of Defence of the Republic of Somaliland,1,Cadaadley village,Cadaadley town,Woqooyi Galbeed region,Hargeysa district,9.767500,44.693333,POINT (44.693333 9.767500),143730,Somalia,520,Africa,1,1,08/06/1995 00:00:00,08/06/1995 00:00:00,0,1,0,0,1,1,1,
25114,SOM-1992-2-294-3,1992,True,Clear,2,5437,4827,Republic of Somaliland - SNM - 'Calan cas' ,5437,5437,Republic of Somaliland - SNM - 'Calan cas' ,675,675,Republic of Somaliland,1105,1105,SNM - 'Calan cas' ,-1,AC 7 Feb. 1992; ARB Jan. 1992,,,,,1,Burao town,Burco town,Togdheer region,Burao district,9.524167,45.536944,POINT (45.536944 9.524167),143732,Somalia,520,Africa,2,4,01/10/1992 00:00:00,01/20/1992 00:00:00,0,0,0,500,500,500,500,
25116,SOM-2008-1-770-181,2008,True,Clear,1,337,337,Somalia: Government,750,750,Government of Somalia - Al-Shabaab,95,95,Government of Somalia,717,717,Al-Shabaab,-1,X 2008-08-21; AFP 2008-08-21,,,,witnesses; hospital sources,1,Mogadishu city,Mogadishu city,Banaadir region,Mogadishu district,2.066667,45.366667,POINT (45.366667 2.066667),132931,Somalia,520,Africa,1,1,08/21/2008 00:00:00,08/21/2008 00:00:00,0,0,0,20,20,20,20,
25118,SOM-2001-2-140-2,2001,False,Clear,2,5304,4694,RRA - RRA - MH,5304,5304,RRA - RRA - MH,678,678,RRA,677,677,RRA - MH,-1,"Ayaamaha, 2001-01-23",,,,,3,Bur Hakaba district,Buulo Jameeco village,Bay region,Bur Hakaba district,2.783333,44.083333,POINT (44.083333 2.783333),133649,Somalia,520,Africa,1,1,01/22/2001 00:00:00,01/22/2001 00:00:00,0,0,0,2,2,2,2,
25120,SOM-2007-1-632-148,2007,True,Clear,1,337,337,Somalia: Government,749,749,Government of Somalia - ARS/UIC,95,95,Government of Somalia,505,505,ARS/UIC,-1,BBC 8/26/2007,,,,"Shabeelle Media Network website, eye witnesses",1,Mogadishu city,Mogadishu city,Banaadir region,Mogadishu district,2.066667,45.366667,POINT (45.366667 2.066667),132931,Somalia,520,Africa,1,1,08/26/2007 00:00:00,08/26/2007 00:00:00,0,0,0,0,0,2,0,
25122,SOM-2008-3-520-1,2008,False,Clear,3,95,473,Government of Somalia - Civilians,95,940,Government of Somalia - Civilians,95,95,Government of Somalia,9999,1,Civilians,-1,Garowe 2008-02-10,,,,witnesses,1,Mogadishu city,Mogadishu city,Banaadir region,Mogadishu district,2.066667,45.366667,POINT (45.366667 2.066667),132931,Somalia,520,Africa,1,1,02/09/2008 00:00:00,02/09/2008 00:00:00,0,0,0,0,0,1,0,
25123,SOM-2009-2-10-34,2009,True,Clear,2,5183,4573,Ahlu Sunna Waljamaca - Al-Shabaab,5183,5183,Ahlu Sunna Waljamaca - Al-Shabaab,894,894,Ahlu Sunna Waljamaca,717,717,Al-Shabaab,-1,Shabelle Media Network/All Africa Global Media via COMTEX in All Africa 2009-08-03,,,,witnesses,3,Adado district,Dhabbad village,Galgudud region,Adado district,6.140278,46.625556,POINT (46.625556 6.140278),138694,Somalia,520,Africa,1,1,08/02/2009 00:00:00,08/02/2009 00:00:00,0,0,0,0,0,3,0,
25124,SOM-2004-2-41-2,2004,True,Clear,2,5213,4603,Dabare subclan of Digil clan (Digil-Mirifle) - Luway subclan of Mirifle clan (Digil-Mirifle),5213,5213,Dabare subclan of Digil clan (Digil-Mirifle) - Luway subclan of Mirifle clan (Digil-Mirifle),593,593,Dabare subclan of Digil clan (Digil-Mirifle),640,640,Luway subclan of Mirifle clan (Digil-Mirifle),-1,r 6/6,,,,,1,Baidoa town,Baydhabo town,Bay region,Baidoa district,3.116667,43.650000,POINT (43.650000 3.116667),134368,Somalia,520,Africa,1,2,06/03/2004 00:00:00,06/05/2004 00:00:00,0,0,0,0,0,3,0,
25125,SOM-2007-1-632-41,2007,True,Clear,1,337,337,Somalia: Government,749,749,Government of Somalia - ARS/UIC,95,95,Government of Somalia,505,505,ARS/UIC,-1,AFP 2007-02-18,,,,witness,1,Mogadishu city,Mogadishu city,Banaadir region,Mogadishu district,2.066667,45.366667,POINT (45.366667 2.066667),132931,Somalia,520,Africa,1,1,02/18/2007 00:00:00,02/18/2007 00:00:00,0,0,0,2,2,2,2,
25126,SOM-2004-2-43-9,2004,True,Clear,2,5215,4605,Da'ud subclan of Abgal clan (Hawiye) - Warsangeli subclan of Abgal clan (Hawiye),5215,5215,Da'ud subclan of Abgal clan (Hawiye) - Warsangeli subclan of Abgal clan (Hawiye),595,595,Da'ud subclan of Abgal clan (Hawiye),699,699,Warsangeli subclan of Abgal clan (Hawiye),-1,afp 27/5,,,,,1,Mogadishu city,Mogadishu city,Banaadir region,Mogadishu district,2.066667,45.366667,POINT (45.366667 2.066667),132931,Somalia,520,Africa,1,1,05/27/2004 00:00:00,05/27/2004 00:00:00,0,0,6,9,15,15,15,
25127,SOM-2005-2-72-1,2005,True,Clear,2,5240,4630,Garre subclan of Digil clan (Digil-Mirifle) - Marehan subclan (Darod),5240,5240,Garre subclan of Digil clan (Digil-Mirifle) - Marehan subclan (Darod),612,612,Garre subclan of Digil clan (Digil-Mirifle),644,644,Marehan subclan (Darod),-1,AFP 11/4,,,,"police, Kenya",1,Bur Hakaba town,Buurhakaba town,Bay region,Bur Hakaba district,2.783333,44.083333,POINT (44.083333 2.783333),133649,Somalia,520,Africa,2,2,04/09/2005 00:00:00,04/10/2005 00:00:00,6,14,0,0,20,50,20,
